"Product
Page","Product
Num",Name,Other Common Name(s),Comment(s),Video URL(s),"Dinnerware
Safe"
Detail,PC-32,Albany Slip Brown,"""ASB""",,"1) w/Chai Gloss Shino:  https://www.facebook.com/100012298691522/videos/1036846626735284/

2) w/ Seaweed (""Peacock Feathers""): https://www.facebook.com/groups/potterschoiceex/permalink/3432798610129000/",yes
Detail,PC-56,Ancient Copper,"""AC""","Ancient Copper does well when fired hot.  But NEEDS a natural (fast) cool to develop shiny crystals.  Not a slow/controlled cool, which gives a dark/dull color.",https://www.facebook.com/groups/potterschoiceex/permalink/3377415732333955/,yes
Detail,PC-53,Ancient Jasper,"""AJ""; ""Ancient Jaspar""",,,yes
Detail,PC-21,Arctic Blue,"""AB""; ""Artic Blue""",,,yes
Detail,PC-48,Art Deco Green,"""ADG""; ""Art Deco""",,,yes
Detail,PC-64,Aventurine,"""Adventurine""",,https://www.facebook.com/100012298691522/videos/1084010162018930/,! NO !
Detail,PC-65,Black Aventurine,"""Black Adventurine”",,https://www.facebook.com/groups/potterschoiceex/permalink/4173324136076440/,yes
Detail,PC-26,Blue Lagoon,,,w/ Copper Red: https://www.facebook.com/100012298691522/videos/362727588975407/,yes
Detail,PC-12,Blue Midnight,“BM”; “Midnight blue”,,,yes
Detail,PC-20,Blue Rutile,"""BR""; ""Rutile""",,https://www.facebook.com/groups/potterschoiceex/permalink/3679673575441501/,yes
Detail,PC-11,Blue Spark,,,"1)  https://www.facebook.com/groups/potterschoiceex/permalink/3330439590364903/

2) JuneBug/BlueSpark: https://www.facebook.com/100012298691522/videos/481342630546721/",yes
Detail,PC-22,Blue Stone,,,"https://www.facebook.com/100012298691522/videos/1156066598236477

w/ Frosted Turq: https://www.facebook.com/groups/potterschoiceex/permalink/3876673619074828/",yes
Detail,PC-55,Chun Plum,"""CP""",,https://www.facebook.com/groups/potterschoiceex/permalink/4289915014417351/,yes
Detail,PC-70,Copper Red,,Commonly known as a tricky glaze.  Watch the associated video(s).,"1) https://www.facebook.com/groups/potterschoiceex/permalink/4624941414248041/

2) w/ Blue Lagoon: https://www.facebook.com/100012298691522/videos/362727588975407/",yes
Detail,PC-66,Cosmic Oil Spot,,,https://www.facebook.com/groups/potterschoiceex/permalink/4214042905337896/,yes
Detail,PC-63,Cosmic Tea Dust,"""CTD""",Partially translucent and will look light brown if thin.  Looks great applied over a coat of dark underglaze or black glaze for opaque dark color.,https://www.youtube.com/watch?v=ChmNJEEjeVM,yes
Detail,PC-45,Dark Green,,Partially translucent,,yes
Detail,PC-59,Deep Firebrick,"""DF""; ""FB""; ""Firebrick Red”; “Firebrick”; “Fire brick”",,https://www.facebook.com/groups/potterschoiceex/permalink/3585794621496064/,yes
Detail,PC-29,Deep Olive Speckle,"""Olive Speckle""",Dark speckles included in glaze.  Don't sieve them out. ,,yes
